id,graduatingYear,overallScore,curriculum,jobSupport,school_id
282455,2021,5.0,5.0,5.0,11035
282442,2021,4.3,4.0,5.0,11035
282438,2021,4.7,5.0,5.0,11035
282435,2021,4.0,4.0,4.0,11035
282432,2021,4.3,4.0,5.0,11035
282333,2021,4.3,5.0,4.0,11035
282330,2021,4.3,5.0,3.0,11035
282304,2021,5.0,5.0,5.0,11035
282296,2021,5.0,5.0,5.0,11035
282263,2021,5.0,5.0,5.0,11035
282244,2021,4.7,5.0,4.0,11035
282212,2021,5.0,5.0,5.0,11035
282202,2021,5.0,5.0,5.0,11035
282168,2021,5.0,5.0,5.0,11035
282138,2021,4.7,4.0,5.0,11035
282096,2021,5.0,5.0,5.0,11035
282092,2021,5.0,5.0,5.0,11035
281953,2021,4.3,5.0,4.0,11035
281925,2021,5.0,5.0,5.0,11035
281920,2021,5.0,5.0,5.0,11035
281907,2021,4.3,4.0,5.0,11035
281867,2021,4.7,5.0,4.0,11035
281863,2021,5.0,5.0,5.0,11035
281828,2021,4.7,4.0,5.0,11035
281822,2021,4.3,5.0,4.0,11035
281812,2021,5.0,5.0,5.0,11035
281780,2021,4.7,5.0,4.0,11035
281777,2021,4.7,5.0,4.0,11035
281648,2021,5.0,5.0,5.0,11035
281616,2021,5.0,5.0,5.0,11035
281543,2021,5.0,5.0,5.0,11035
281530,2021,4.3,5.0,4.0,11035
281424,2021,5.0,5.0,5.0,11035
281420,2021,5.0,5.0,5.0,11035
281409,2021,5.0,5.0,5.0,11035
281403,2021,4.0,4.0,4.0,11035
281390,2021,4.0,4.0,4.0,11035
281366,2021,4.7,5.0,5.0,11035
281268,2021,4.7,4.0,5.0,11035
281234,2021,5.0,5.0,5.0,11035
281231,2021,2.7,3.0,2.0,11035
281219,2021,5.0,5.0,5.0,11035
281135,2021,4.0,4.0,4.0,11035
281131,2021,4.0,4.0,4.0,11035
281100,2021,5.0,5.0,5.0,11035
281043,2021,5.0,5.0,5.0,11035
281006,2021,4.7,5.0,4.0,11035
280997,2021,3.3,3.0,3.0,11035
